time,class,class_prop,class_rel,class_prop_rel
366.46,6,1,6,1
367.46,6,1,6,1
368.46,6,1,6,1
369.46,6,1,6,1
370.46,6,1,6,1
371.46,6,1,6,1
372.46,6,1,6,1
373.46,6,1,6,1
374.46,6,1,6,1
375.46,6,1,6,1
376.46,6,1,6,1
377.46,6,1,6,1
378.46,6,1,6,1
379.46,6,1,6,1
380.46,6,1,6,1
381.46,6,1,6,1
382.46,6,1,6,1
383.46,6,1,6,1
384.46,6,1,6,1
385.46,6,1,6,1
386.46,6,1,6,1
387.46,6,1,6,1
388.46,6,1,6,1
389.46,6,1,6,1
390.46,6,1,6,1
391.46,6,1,6,1
392.46,6,1,6,1
393.46,6,1,6,1
394.46,6,1,6,1
395.46,6,1,6,1
396.46,6,1,6,1
397.46,6,1,6,1
398.46,6,1,6,1
399.46,6,1,6,1
400.46,6,1,6,1
401.46,6,1,6,1
402.46,6,1,6,1
403.46,6,1,6,1
404.46,6,1,6,1
405.46,6,1,6,1
406.46,6,1,6,1
407.46,6,1,6,1
408.46,6,1,6,1
409.46,6,1,6,1
410.46,6,1,6,1
411.46,6,1,6,1
412.46,6,1,6,0.995024875621891
413.46,6,0.90547263681592,6,0.746268656716418
414.46,6,0.656716417910448,10,0.502487562189055
415.46,10,0.592039800995025,10,0.751243781094527
416.46,10,0.840796019900497,10,1
417.46,10,1,10,1
418.46,10,1,10,1
419.46,10,1,10,1
420.46,10,1,10,1
421.46,10,1,10,1
422.46,10,1,10,1
423.46,10,1,10,1
424.46,10,1,10,1
425.46,10,1,10,1
426.46,10,1,10,1
427.46,10,1,10,1
428.46,10,1,10,1
429.46,10,1,10,1
430.46,10,1,10,1
431.46,10,1,10,1
432.46,10,1,10,1
433.46,10,1,10,1
434.46,10,1,10,1
435.46,10,1,10,1
436.46,10,1,10,1
437.46,10,1,10,1
438.46,10,1,10,1
439.46,10,1,10,1
440.46,10,1,10,1
441.46,10,1,10,1
442.46,10,1,10,1
443.46,10,1,10,1
444.46,10,1,10,1
445.46,10,1,10,1
446.46,10,1,10,1
447.46,10,1,10,1
448.46,10,1,10,1
449.46,10,1,10,1
450.46,10,1,10,1
451.46,10,1,10,1
452.46,10,1,10,1
453.46,10,1,10,1
454.46,10,1,10,1
455.46,10,1,10,1
456.46,10,1,10,1
457.46,10,1,10,1
458.46,10,1,10,1
459.46,10,1,10,1
460.46,10,1,10,1
461.46,10,1,10,1
462.46,10,1,10,1
463.46,10,1,10,1
464.46,10,1,10,1
465.46,10,1,10,1
466.46,10,1,10,1
467.46,10,1,10,1
468.46,10,1,10,1
469.46,10,1,10,1
470.46,10,1,10,1
471.46,10,1,10,1
472.46,10,1,10,1
473.46,10,1,10,1
474.46,10,1,10,1
475.46,10,1,10,1
476.46,10,1,10,1
477.46,10,1,10,1
478.46,10,1,10,1
479.46,10,1,10,1
480.46,10,1,10,1
481.46,10,1,10,1
482.46,10,1,10,1
483.46,10,1,10,1
484.46,10,1,10,1
485.46,10,1,10,1
486.46,10,1,10,1
487.46,10,1,10,1
488.46,10,1,10,1
489.46,10,1,10,1
490.46,10,1,10,1
491.46,10,1,10,1
492.46,10,1,10,1
493.46,10,1,10,1
494.46,10,1,10,1
495.46,10,1,10,1
496.46,10,1,10,1
497.46,10,1,10,1
498.46,10,1,10,1
499.46,10,1,10,1
500.46,10,1,10,1
501.46,10,1,10,1
502.46,10,1,10,1
503.46,10,1,10,1
504.46,10,1,10,1
505.46,10,1,10,1
506.46,10,1,10,0.975124378109453
507.46,10,1,10,0.72636815920398
508.46,10,0.895522388059702,3,0.522388059701492
509.46,10,0.646766169154229,3,0.771144278606965
510.46,3,0.601990049751244,3,1
511.46,3,0.850746268656716,3,1
512.46,3,1,3,1
513.46,3,1,3,1
514.46,3,1,3,1
515.46,3,1,3,1
516.46,3,1,3,1
517.46,3,1,3,1
518.46,3,1,3,1
519.46,3,1,3,1
520.46,3,1,3,1
521.46,3,1,3,1
522.46,3,1,3,1
523.46,3,1,3,1
524.46,3,1,3,1
525.46,3,1,3,1
526.46,3,1,3,1
527.46,3,1,3,1
528.46,3,1,3,1
529.46,3,1,3,1
530.46,3,1,3,1
531.46,3,1,3,1
532.46,3,1,3,1
533.46,3,1,3,1
534.46,3,1,3,1
535.46,3,1,3,1
536.46,3,1,3,1
537.46,3,1,3,1
538.46,3,1,3,1
539.46,3,1,3,1
540.46,3,1,3,1
541.46,3,1,3,1
542.46,3,1,3,1
543.46,3,1,3,1
544.46,3,1,3,1
545.46,3,1,3,1
546.46,3,1,3,1
547.46,3,1,3,1
548.46,3,1,3,1
549.46,3,1,3,1
550.46,3,1,3,1
551.46,3,1,3,1
552.46,3,1,3,1
553.46,3,1,3,1
554.46,3,1,3,1
555.46,3,1,3,1
556.46,3,1,3,1
557.46,3,1,3,1
558.46,3,1,3,1
559.46,3,1,3,1
560.46,3,1,3,1
561.46,3,1,3,1
562.46,3,1,3,1
563.46,3,1,3,1
564.46,3,1,3,1
565.46,3,1,3,1
566.46,3,1,3,1
567.46,3,1,3,1
568.46,3,1,3,1
569.46,3,1,3,1
570.46,3,1,3,1
571.46,3,1,3,1
572.46,3,1,3,1
573.46,3,1,3,1
574.46,3,1,3,1
575.46,3,1,3,1
576.46,3,1,3,1
577.46,3,1,3,1
578.46,3,1,3,1
579.46,3,1,3,1
580.46,3,1,3,1
581.46,3,1,3,1
582.46,3,1,3,1
583.46,3,1,3,1
584.46,3,1,3,1
585.46,3,1,3,1
586.46,3,1,3,1
587.46,3,1,3,1
588.46,3,1,3,1
589.46,3,1,3,1
590.46,3,1,3,1
591.46,3,1,3,1
592.46,3,1,3,1
593.46,3,1,3,1
594.46,3,1,3,1
595.46,3,1,3,1
596.46,3,1,3,1
597.46,3,1,3,1
598.46,3,1,3,1
599.46,3,1,3,1
600.46,3,1,3,1
601.46,3,1,3,1
602.46,3,1,3,1
603.46,3,1,3,1
604.46,3,1,3,1
605.46,3,1,3,1
606.46,3,1,3,1
607.46,3,1,3,1
608.46,3,1,3,1
609.46,3,1,3,1
610.46,3,1,3,1
611.46,3,1,3,1
612.46,3,1,3,1
613.46,3,1,3,1
614.46,3,1,3,1
615.46,3,1,3,1
616.46,3,1,3,1
617.46,3,1,3,1
618.46,3,1,3,1
619.46,3,1,3,1
620.46,3,1,3,1
621.46,3,1,3,1
622.46,3,1,3,1
623.46,3,1,3,1
624.46,3,1,3,1
625.46,3,1,3,1
626.46,3,1,3,1
627.46,3,1,3,1
628.46,3,1,3,1
629.46,3,1,3,1
630.46,3,1,3,1
631.46,3,1,3,1
632.46,3,1,3,1
633.46,3,1,3,1
634.46,3,1,3,1
635.46,3,1,3,1
636.46,3,1,3,1
637.46,3,1,3,1
638.46,3,1,3,1
639.46,3,0.965174129353234,3,0.980099502487562
640.46,3,0.716417910447761,3,0.73134328358209
641.46,7,0.532338308457711,7,0.517412935323383
642.46,7,0.781094527363184,7,0.766169154228856
643.46,7,1,7,1
644.46,7,1,7,1
645.46,7,1,7,1
646.46,7,1,7,1
647.46,7,1,7,1
648.46,7,1,7,1
649.46,7,1,7,1
650.46,7,1,7,1
651.46,7,1,7,1
652.46,7,1,7,1
653.46,7,1,7,1
654.46,7,1,7,1
655.46,7,1,7,1
656.46,7,1,7,1
657.46,7,1,7,1
658.46,7,1,7,1
659.46,7,1,7,1
660.46,7,1,7,1
661.46,7,1,7,1
662.46,7,1,7,1
663.46,7,1,7,1
664.46,7,1,7,1
665.46,7,1,7,1
666.46,7,1,7,1
667.46,7,1,7,1
668.46,7,1,7,1
669.46,7,1,7,1
670.46,7,1,7,1
671.46,7,1,7,1
672.46,7,1,7,1
673.46,7,1,7,1
674.46,7,1,7,1
675.46,7,1,7,1
676.46,7,1,7,1
677.46,7,1,7,1
678.46,7,1,7,1
679.46,7,1,7,1
680.46,7,1,7,1
681.46,7,1,7,1
682.46,7,1,7,1
683.46,7,1,7,1
684.46,7,1,7,1
685.46,7,1,7,1
686.46,7,1,7,1
687.46,7,1,7,1
688.46,7,1,7,1
689.46,7,1,7,1
690.46,7,1,7,1
691.46,7,1,7,1
692.46,7,1,7,1
693.46,7,1,7,1
694.46,7,1,7,1
695.46,7,1,7,1
696.46,7,1,7,1
697.46,7,1,7,1
698.46,7,1,7,1
699.46,7,1,7,1
700.46,7,1,7,1
701.46,7,1,7,1
702.46,7,1,7,1
703.46,7,1,7,1
704.46,7,1,7,1
705.46,7,1,7,1
706.46,7,1,7,1
707.46,7,1,7,1
708.46,7,1,7,1
709.46,7,1,7,1
710.46,7,1,7,1
711.46,7,1,7,1
712.46,7,1,7,1
713.46,7,1,7,1
714.46,7,1,7,1
715.46,7,1,7,1
716.46,7,1,7,1
717.46,7,1,7,1
718.46,7,1,7,1
719.46,7,1,7,1
720.46,7,1,7,1
721.46,7,1,7,1
722.46,7,1,7,1
723.46,7,1,7,1
724.46,7,1,7,1
725.46,7,1,7,1
726.46,7,1,7,1
727.46,7,1,7,1
728.46,7,1,7,1
729.46,7,1,7,1
730.46,7,1,7,1
731.46,7,1,7,1
732.46,7,1,7,1
733.46,7,1,7,1
734.46,7,1,7,1
735.46,7,1,7,1
736.46,7,1,7,1
737.46,7,1,7,1
738.46,7,1,7,1
739.46,7,1,7,1
740.46,7,1,7,1
741.46,7,1,7,1
742.46,7,1,7,1
743.46,7,1,7,1
744.46,7,1,7,1
745.46,7,1,7,1
746.46,7,1,7,1
747.46,7,1,7,1
748.46,7,1,7,1
749.46,7,1,7,1
750.46,7,1,7,1
751.46,7,1,7,1
752.46,7,1,7,1
753.46,7,1,7,1
754.46,7,1,7,1
755.46,7,1,7,1
756.46,7,1,7,1
757.46,7,1,7,1
758.46,7,1,7,1
759.46,7,1,7,1
760.46,7,1,7,1
761.46,7,1,7,1
762.46,7,1,7,1
763.46,7,1,7,1
764.46,7,1,7,1
765.46,7,1,7,1
766.46,7,1,7,1
767.46,7,1,7,1
768.46,7,1,7,1
769.46,7,1,7,1
770.46,7,1,7,1
771.46,7,1,7,1
772.46,7,1,7,1
773.46,7,1,7,1
774.46,7,1,7,1
775.46,7,1,7,1
776.46,7,1,7,1
777.46,7,1,7,1
778.46,7,1,7,1
779.46,7,1,7,1
780.46,7,1,7,1
781.46,7,1,7,1
782.46,7,1,7,1
783.46,7,1,7,1
784.46,7,1,7,1
785.46,7,1,7,1
786.46,7,1,7,1
787.46,7,1,7,1
788.46,7,1,7,1
789.46,7,1,7,1
790.46,7,1,7,1
791.46,7,1,7,1
792.46,7,1,7,1
793.46,7,1,7,1
794.46,7,1,7,1
795.46,7,1,7,1
796.46,7,1,7,1
797.46,7,1,7,1
798.46,7,1,7,1
799.46,7,1,7,1
800.46,7,1,7,1
801.46,7,1,7,1
802.46,7,1,7,1
803.46,7,1,7,1
804.46,7,1,7,1
805.46,7,1,7,1
806.46,7,1,7,1
807.46,7,1,7,1
808.46,7,1,7,1
809.46,7,1,7,1
810.46,7,1,7,1
811.46,7,1,7,1
812.46,7,1,7,1
813.46,7,1,7,1
814.46,7,1,7,1
815.46,7,1,7,1
816.46,7,1,7,1
817.46,7,1,7,1
818.46,7,1,7,1
819.46,7,1,7,1
820.46,7,1,7,1
821.46,7,1,7,1
822.46,7,1,7,1
823.46,7,1,7,1
824.46,7,1,7,1
825.46,7,1,7,1
826.46,7,1,7,1
827.46,7,1,7,1
828.46,7,1,7,1
829.46,7,1,7,1
830.46,7,1,7,1
831.46,7,1,7,1
832.46,7,1,7,1
833.46,7,1,7,1
834.46,7,1,7,1
835.46,7,1,7,1
836.46,7,1,7,1
837.46,7,1,7,1
838.46,7,1,7,1
839.46,7,1,7,1
840.46,7,1,7,1
841.46,7,1,7,1
842.46,7,1,7,1
843.46,7,1,7,1
844.46,7,1,7,1
845.46,7,1,7,1
846.46,7,1,7,1
847.46,7,1,7,1
848.46,7,1,7,1
849.46,7,1,7,1
850.46,7,1,7,1
851.46,7,1,7,1
852.46,7,1,7,1
853.46,7,1,7,1
854.46,7,1,7,1
855.46,7,1,7,1
856.46,7,1,7,1
857.46,7,1,7,1
858.46,7,1,7,1
859.46,7,1,7,1
860.46,7,1,7,1
861.46,7,1,7,1
862.46,7,1,7,1
863.46,7,1,7,1
864.46,7,1,7,1
865.46,7,1,7,1
866.46,7,1,7,1
867.46,7,1,7,1
868.46,7,1,7,1
869.46,7,1,7,1
870.46,7,1,7,1
871.46,7,1,7,1
872.46,7,1,7,1
873.46,7,1,7,1
874.46,7,1,7,1
875.46,7,1,7,1
876.46,7,1,7,1
877.46,7,1,7,1
878.46,7,1,7,1
879.46,7,1,7,1
880.46,7,1,7,1
881.46,7,1,7,1
882.46,7,1,7,1
883.46,7,1,7,1
884.46,7,1,7,1
885.46,7,1,7,1
886.46,7,1,7,1
887.46,7,1,7,1
888.46,7,1,7,1
889.46,7,1,7,1
890.46,7,1,7,1
891.46,7,1,7,1
892.46,7,1,7,1
893.46,7,1,7,1
894.46,7,1,7,1
895.46,7,1,7,1
896.46,7,1,7,1
897.46,7,1,7,1
898.46,7,1,7,1
899.46,7,1,7,1
900.46,7,1,7,1
901.46,7,1,7,1
902.46,7,1,7,1
903.46,7,1,7,1
904.46,7,1,7,1
905.46,7,1,7,1
906.46,7,1,7,1
907.46,7,1,7,1
908.46,7,1,7,1
909.46,7,1,7,1
910.46,7,1,7,1
911.46,7,1,7,1
912.46,7,1,7,1
913.46,7,1,7,1
914.46,7,1,7,1
915.46,7,1,7,1
916.46,7,1,7,1
917.46,7,1,7,1
918.46,7,1,7,1
919.46,7,1,7,1
920.46,7,1,7,1
921.46,7,1,7,1
922.46,7,1,7,1
923.46,7,1,7,1
924.46,7,1,7,1
925.46,7,1,7,1
926.46,7,1,7,1
927.46,7,1,7,1
928.46,7,1,7,1
929.46,7,1,7,1
930.46,7,1,7,1
931.46,7,1,7,1
932.46,7,1,7,1
933.46,7,1,7,1
934.46,7,1,7,1
935.46,7,1,7,1
936.46,7,1,7,1
937.46,7,1,7,1
938.46,7,1,7,1
939.46,7,1,7,1
940.46,7,1,7,1
941.46,7,1,7,1
942.46,7,1,7,1
943.46,7,1,7,1
944.46,7,1,7,1
945.46,7,1,7,1
946.46,7,1,7,1
947.46,7,1,7,1
948.46,7,1,7,1
949.46,7,1,7,1
950.46,7,1,7,1
951.46,7,1,7,1
952.46,7,1,7,1
953.46,7,1,7,1
954.46,7,1,7,1
955.46,7,1,7,1
956.46,7,1,7,1
957.46,7,1,7,1
958.46,7,1,7,1
959.46,7,1,7,1
960.46,7,1,7,1
961.46,7,1,7,1
962.46,7,1,7,1
963.46,7,1,7,1
964.46,7,1,7,1
965.46,7,1,7,1
966.46,7,1,7,1
967.46,7,1,7,1
968.46,7,1,7,1
969.46,7,1,7,1
970.46,7,1,7,1
971.46,7,1,7,1
972.46,7,1,7,1
973.46,7,1,7,1
974.46,7,1,7,1
975.46,7,1,7,1
976.46,7,1,7,1
977.46,7,1,7,1
978.46,7,1,7,1
979.46,7,1,7,1
980.46,7,1,7,1
981.46,7,1,7,1
982.46,7,1,7,1
983.46,7,1,7,1
984.46,7,1,7,1
985.46,7,1,7,1
986.46,7,1,7,1
987.46,7,1,7,1
988.46,7,1,7,1
989.46,7,1,7,1
990.46,7,1,7,1
991.46,7,1,7,1
992.46,7,1,7,1
993.46,7,1,7,1
994.46,7,1,7,1
995.46,7,1,7,1
996.46,7,1,7,1
997.46,7,1,7,1
998.46,7,1,7,1
999.46,7,1,7,1
1000.46,7,1,7,1
1001.46,7,1,7,1
1002.46,7,1,7,1
1003.46,7,1,7,1
1004.46,7,1,7,1
1005.46,7,1,7,1
1006.46,7,1,7,1
1007.46,7,1,7,1
1008.46,7,1,7,1
1009.46,7,1,7,1
1010.46,7,1,7,1
1011.46,7,1,7,1
1012.46,7,1,7,1
1013.46,7,1,7,1
1014.46,7,1,7,1
1015.46,7,1,7,1
1016.46,7,1,7,1
1017.46,7,1,7,1
1018.46,7,1,7,1
1019.46,7,1,7,1
1020.46,7,1,7,1
1021.46,7,1,7,1
1022.46,7,1,7,1
1023.46,7,1,7,1
1024.46,7,1,7,1
1025.46,7,1,7,1
1026.46,7,1,7,1
1027.46,7,1,7,1
1028.46,7,1,7,1
1029.46,7,1,7,1
1030.46,7,1,7,1
1031.46,7,1,7,1
1032.46,7,1,7,1
1033.46,7,1,7,1
1034.46,7,1,7,1
1035.46,7,1,7,1
1036.46,7,1,7,1
1037.46,7,1,7,1
1038.46,7,1,7,1
1039.46,7,1,7,1
1040.46,7,1,7,1
1041.46,7,1,7,1
1042.46,7,1,7,1
1043.46,7,1,7,1
1044.46,7,1,7,1
1045.46,7,1,7,1
1046.46,7,1,7,1
1047.46,7,1,7,1
1048.46,7,1,7,1
1049.46,7,1,7,1
1050.46,7,1,7,1
1051.46,7,1,7,1
1052.46,7,1,7,1
1053.46,7,1,7,1
1054.46,7,1,7,1
1055.46,7,1,7,1
1056.46,7,1,7,1
1057.46,7,1,7,1
1058.46,7,1,7,1
1059.46,7,1,7,1
1060.46,7,1,7,1
1061.46,7,1,7,1
1062.46,7,1,7,1
1063.46,7,1,7,0.995024875621891
1064.46,7,0.90547263681592,7,0.746268656716418
1065.46,7,0.656716417910448,3,0.502487562189055
1066.46,3,0.592039800995025,3,0.751243781094527
1067.46,3,0.840796019900497,3,1
1068.46,3,1,3,1
1069.46,3,1,3,1
1070.46,3,1,3,1
1071.46,3,1,3,1
1072.46,3,1,3,1
1073.46,3,1,3,1
1074.46,3,1,3,1
1075.46,3,1,3,1
1076.46,3,1,3,1
1077.46,3,1,3,1
1078.46,3,1,3,1
1079.46,3,1,3,1
1080.46,3,1,3,1
1081.46,3,1,3,1
1082.46,3,1,3,1
1083.46,3,1,3,1
1084.46,3,1,3,1
1085.46,3,1,3,1
1086.46,3,1,3,1
1087.46,3,1,3,1
1088.46,3,1,3,1
1089.46,3,1,3,1
1090.46,3,1,3,1
1091.46,3,1,3,1
1092.46,3,1,3,1
1093.46,3,1,3,1
1094.46,3,1,3,1
1095.46,3,1,3,1
1096.46,3,1,3,1
1097.46,3,1,3,1
1098.46,3,1,3,1
1099.46,3,1,3,1
1100.46,3,1,3,1
1101.46,3,1,3,1
1102.46,3,1,3,1
1103.46,3,1,3,1
1104.46,3,1,3,1
1105.46,3,1,3,1
1106.46,3,1,3,1
1107.46,3,1,3,1
1108.46,3,1,3,1
1109.46,3,1,3,1
1110.46,3,1,3,1
1111.46,3,1,3,1
1112.46,3,1,3,1
1113.46,3,1,3,1
1114.46,3,1,3,1
1115.46,3,1,3,1
1116.46,3,1,3,1
1117.46,3,1,3,1
1118.46,3,1,3,1
1119.46,3,1,3,1
1120.46,3,1,3,1
1121.46,3,1,3,1
1122.46,3,1,3,1
1123.46,3,1,3,1
1124.46,3,1,3,1
1125.46,3,1,3,1
1126.46,3,1,3,1
1127.46,3,1,3,1
1128.46,3,1,3,1
1129.46,3,1,3,1
1130.46,3,1,3,1
1131.46,3,1,3,1
1132.46,3,1,3,1
1133.46,3,1,3,1
1134.46,3,1,3,1
1135.46,3,1,3,1
1136.46,3,1,3,1
1137.46,3,1,3,1
1138.46,3,1,3,1
1139.46,3,1,3,1
1140.46,3,1,3,1
1141.46,3,1,3,1
1142.46,3,1,3,1
1143.46,3,1,3,1
1144.46,3,1,3,1
1145.46,3,1,3,1
1146.46,3,1,3,1
1147.46,3,1,3,1
1148.46,3,1,3,1
1149.46,3,1,3,1
1150.46,3,1,3,1
1151.46,3,1,3,1
